Wo,Vds,Temp,Nd,Mod index
200,1,300,5e+23,0.119654535
200,1,300,1e+24,0.121913843
200,1,300,5e+24,0.213013142
200,1,300,1e+25,0.242498501
200,1,400,5e+23,0.152403021
200,1,400,1e+24,0.190244879
200,1,400,5e+24,0.267766324
200,1,400,1e+25,0.283906259
200,1,500,5e+23,0.26103262
200,1,500,1e+24,0.253537965
200,1,500,5e+24,0.300204566
200,1,500,1e+25,0.346509241
200,2,300,5e+23,0.070403212
200,2,300,1e+24,0.084003731
200,2,300,5e+24,0.10494582
200,2,300,1e+25,0.122647526
200,2,400,5e+23,0.090338408
200,2,400,1e+24,0.109201592
200,2,400,5e+24,0.115283422
200,2,400,1e+25,0.138031617
200,2,500,5e+23,0.121281142
200,2,500,1e+24,0.123830683
200,2,500,5e+24,0.160357728
200,2,500,1e+25,0.166207448
200,3,300,5e+23,0.044070595
200,3,300,1e+24,0.053065639
200,3,300,5e+24,0.069979355
200,3,300,1e+25,0.072641131
200,3,400,5e+23,0.069296499
200,3,400,1e+24,0.071045281
200,3,400,5e+24,0.083303235
200,3,400,1e+25,0.093710973
200,3,500,5e+23,0.080552033
200,3,500,1e+24,0.081912893
200,3,500,5e+24,0.103475124
200,3,500,1e+25,0.117075608
200,4,300,5e+23,0.03511403
200,4,300,1e+24,0.037360252
200,4,300,5e+24,0.047679585
200,4,300,1e+25,0.05728614
200,4,400,5e+23,0.046853926
200,4,400,1e+24,0.044942845
200,4,400,5e+24,0.05802446
200,4,400,1e+25,0.081826027
200,4,500,5e+23,0.061718788
200,4,500,1e+24,0.075675836
200,4,500,5e+24,0.08079699
200,4,500,1e+25,0.09144645
200,5,300,5e+23,0.029530195
200,5,300,1e+24,0.034086898
200,5,300,5e+24,0.039366532
200,5,300,1e+25,0.047370719
200,5,400,5e+23,0.037015856
200,5,400,1e+24,0.043704915
200,5,400,5e+24,0.045324625
200,5,400,1e+25,0.067179347
200,5,500,5e+23,0.049116523
200,5,500,1e+24,0.05092652
200,5,500,5e+24,0.063211773
200,5,500,1e+25,0.068480428
200,6,300,5e+23,0.027306847
200,6,300,1e+24,0.028245887
200,6,300,5e+24,0.036952323
200,6,300,1e+25,0.043626332
200,6,400,5e+23,0.036552187
200,6,400,1e+24,0.040434589
200,6,400,5e+24,0.04741948
200,6,400,1e+25,0.059520897
200,6,500,5e+23,0.046755898
200,6,500,1e+24,0.051390187
200,6,500,5e+24,0.054316072
200,6,500,1e+25,0.061587465
200,7,300,5e+23,0.024293542
200,7,300,1e+24,0.023469292
200,7,300,5e+24,0.031242733
200,7,300,1e+25,0.03893352
200,7,400,5e+23,0.028209197
200,7,400,1e+24,0.032764123
200,7,400,5e+24,0.039783045
200,7,400,1e+25,0.045879085
200,7,500,5e+23,0.045023255
200,7,500,1e+24,0.046316326
200,7,500,5e+24,0.047347049
200,7,500,1e+25,0.047243178
200,8,300,5e+23,0.020740551
200,8,300,1e+24,0.022944182
200,8,300,5e+24,0.031901742
200,8,300,1e+25,0.032789882
200,8,400,5e+23,0.029100297
200,8,400,1e+24,0.02784863
200,8,400,5e+24,0.040106757
200,8,400,1e+25,0.035187295
200,8,500,5e+23,0.030699695
200,8,500,1e+24,0.041639557
200,8,500,5e+24,0.040815012
200,8,500,1e+25,0.047457843
200,9,300,5e+23,0.017394138
200,9,300,1e+24,0.019637458
200,9,300,5e+24,0.026275332
200,9,300,1e+25,0.026545338
200,9,400,5e+23,0.023237276
200,9,400,1e+24,0.025478767
200,9,400,5e+24,0.033800442
200,9,400,1e+25,0.037645717
200,9,500,5e+23,0.030785135
200,9,500,1e+24,0.036431505
200,9,500,5e+24,0.040388559
200,9,500,1e+25,0.04205597
200,10,300,5e+23,0.017882348
200,10,300,1e+24,0.018911988
200,10,300,5e+24,0.024185152
200,10,300,1e+25,0.026197305
200,10,400,5e+23,0.022102916
200,10,400,1e+24,0.022644666
200,10,400,5e+24,0.026737322
200,10,400,1e+25,0.031449583
200,10,500,5e+23,0.030094794
200,10,500,1e+24,0.030014365
200,10,500,5e+24,0.041011664
200,10,500,1e+25,0.039331235
200,11,300,5e+23,0.019325172
200,11,300,1e+24,0.01931762
200,11,300,5e+24,0.021597954
200,11,300,1e+25,0.023407626
200,11,400,5e+23,0.023527006
200,11,400,1e+24,0.019006798
200,11,400,5e+24,0.027196601
200,11,400,1e+25,0.029894802
200,11,500,5e+23,0.02551095
200,11,500,1e+24,0.024491308
200,11,500,5e+24,0.036228676
200,11,500,1e+25,0.037187481
200,12,300,5e+23,0.015828111
200,12,300,1e+24,0.016167833
200,12,300,5e+24,0.020646687
200,12,300,1e+25,0.02487922
200,12,400,5e+23,0.019462598
200,12,400,1e+24,0.020306671
200,12,400,5e+24,0.024023666
200,12,400,1e+25,0.025946081
200,12,500,5e+23,0.022986152
200,12,500,1e+24,0.02632734
200,12,500,5e+24,0.028712956
200,12,500,1e+25,0.03647473
200,13,300,5e+23,0.01449389
200,13,300,1e+24,0.013897743
200,13,300,5e+24,0.019316684
200,13,300,1e+25,0.022294154
200,13,400,5e+23,0.018876463
200,13,400,1e+24,0.01903208
200,13,400,5e+24,0.02068021
200,13,400,1e+25,0.022701132
200,13,500,5e+23,0.0243374
200,13,500,1e+24,0.022141675
200,13,500,5e+24,0.028512076
200,13,500,1e+25,0.029443961
200,14,300,5e+23,0.0149092
200,14,300,1e+24,0.014587623
200,14,300,5e+24,0.018021697
200,14,300,1e+25,0.022730982
200,14,400,5e+23,0.017541112
200,14,400,1e+24,0.020136427
200,14,400,5e+24,0.02159569
200,14,400,1e+25,0.026998582
200,14,500,5e+23,0.024908795
200,14,500,1e+24,0.020172055
200,14,500,5e+24,0.025554202
200,14,500,1e+25,0.025863285
200,15,300,5e+23,0.012445542
200,15,300,1e+24,0.015718119
200,15,300,5e+24,0.01967581
200,15,300,1e+25,0.024844636
200,15,400,5e+23,0.016259184
200,15,400,1e+24,0.019450686
200,15,400,5e+24,0.01972115
200,15,400,1e+25,0.023976967
200,15,500,5e+23,0.024034404
200,15,500,1e+24,0.022588757
