Wo,Vds,Temp,Intervalley,Nd,Mod index
200.0,10.0,300.0,9.0e+11,1e+24,0.010398811315229128
200.0,10.0,300.0,9.0e+11,1e+25,0.014266087137906567
200.0,10.0,300.0,9.0e+11,5e+23,0.009208958663344405
200.0,10.0,300.0,9.0e+11,5e+24,0.013153449571809453
200.0,10.0,400.0,9.0e+11,1e+24,0.010655572015240899
200.0,10.0,400.0,9.0e+11,1e+25,0.017275519655317633
200.0,10.0,400.0,9.0e+11,5e+23,0.012384969258972792
200.0,10.0,400.0,9.0e+11,5e+24,0.014554201907693128
200.0,10.0,500.0,9.0e+11,1e+24,0.015324485938031469
200.0,10.0,500.0,9.0e+11,1e+25,0.01819812425766367
200.0,10.0,500.0,9.0e+11,5e+23,0.017253197000998685
200.0,10.0,500.0,9.0e+11,5e+24,0.018082242178093497
200.0,11.0,300.0,9.0e+11,1e+24,0.010111779039550522
200.0,11.0,300.0,9.0e+11,1e+25,0.012640819753734074
200.0,11.0,300.0,9.0e+11,5e+23,0.010244735450698874
200.0,11.0,300.0,9.0e+11,5e+24,0.012569231504417583
200.0,11.0,400.0,9.0e+11,1e+24,0.011003084139999923
200.0,11.0,400.0,9.0e+11,1e+25,0.01526208114916377
200.0,11.0,400.0,9.0e+11,5e+23,0.01080858883662696
200.0,11.0,400.0,9.0e+11,5e+24,0.015387174041080167
200.0,11.0,500.0,9.0e+11,1e+24,0.013739873892830818
200.0,11.0,500.0,9.0e+11,1e+25,0.018439063150559508
200.0,11.0,500.0,9.0e+11,5e+23,0.013328097017901481
200.0,11.0,500.0,9.0e+11,5e+24,0.020532104064867142
200.0,12.0,300.0,9.0e+11,1e+24,0.009845863038663845
200.0,12.0,300.0,9.0e+11,1e+25,0.012906519524644923
200.0,12.0,300.0,9.0e+11,5e+23,0.009730465686340221
200.0,12.0,300.0,9.0e+11,5e+24,0.013156239374752873
200.0,12.0,400.0,9.0e+11,1e+24,0.010688738173916244
200.0,12.0,400.0,9.0e+11,1e+25,0.014704101261728308
200.0,12.0,400.0,9.0e+11,5e+23,0.009555210582659894
200.0,12.0,400.0,9.0e+11,5e+24,0.01195308698477819
200.0,12.0,500.0,9.0e+11,1e+24,0.01271752373227783
200.0,12.0,500.0,9.0e+11,1e+25,0.016334781761603752
200.0,12.0,500.0,9.0e+11,5e+23,0.014105027848134595
200.0,12.0,500.0,9.0e+11,5e+24,0.015076393531672679
200.0,13.0,300.0,9.0e+11,1e+24,0.00833104731800939
200.0,13.0,300.0,9.0e+11,1e+25,0.013074632669385472
200.0,13.0,300.0,9.0e+11,5e+23,0.008103508841662334
200.0,13.0,300.0,9.0e+11,5e+24,0.010160082041007008
200.0,13.0,400.0,9.0e+11,1e+24,0.009629410118720181
200.0,13.0,400.0,9.0e+11,1e+25,0.012428844032042462
200.0,13.0,400.0,9.0e+11,5e+23,0.009863602541121948
200.0,13.0,400.0,9.0e+11,5e+24,0.01223227384244529
