Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,10.0,300.0,9.0e+11,1e+24,0.42852040737969266,5000000000000.0
200.0,10.0,300.0,9.0e+11,1e+25,0.5299694347590834,2350000000000.0
200.0,10.0,300.0,9.0e+11,5e+23,0.023808579392713997,5000000000000.0
200.0,10.0,300.0,9.0e+11,5e+24,0.35422686754962873,1200000000000.0
200.0,10.0,400.0,9.0e+11,1e+24,0.04808217006855611,5000000000000.0
200.0,10.0,400.0,9.0e+11,1e+25,0.4263506642390405,2866666666666.6665
200.0,10.0,400.0,9.0e+11,5e+23,0.04931716278958529,5000000000000.0
200.0,10.0,400.0,9.0e+11,5e+24,0.2611564946715493,1150000000000.0
200.0,10.0,500.0,9.0e+11,1e+24,0.3420161678501443,2116666666666.6665
200.0,10.0,500.0,9.0e+11,1e+25,0.4993100042602355,2250000000000.0
200.0,10.0,500.0,9.0e+11,5e+23,0.2597967811208917,6233333333333.333
200.0,10.0,500.0,9.0e+11,5e+24,1.0155649114435457,2316666666666.6665
200.0,11.0,300.0,9.0e+11,1e+24,0.12499468687590526,2100000000000.0
200.0,11.0,300.0,9.0e+11,1e+25,0.6229204682003807,1166666666666.6665
200.0,11.0,300.0,9.0e+11,5e+23,0.02447429519370838,2050000000000.0
200.0,11.0,300.0,9.0e+11,5e+24,0.3977524411549351,3416666666666.6665
200.0,11.0,400.0,9.0e+11,1e+24,0.040115513583021706,2100000000000.0
200.0,11.0,400.0,9.0e+11,1e+25,0.5493358748020217,2383333333333.333
200.0,11.0,400.0,9.0e+11,5e+23,0.03580382913263067,2066666666666.6665
200.0,11.0,400.0,9.0e+11,5e+24,0.36005222271157006,1150000000000.0
200.0,11.0,500.0,9.0e+11,1e+24,0.11835408286058066,6366666666666.666
200.0,11.0,500.0,9.0e+11,1e+25,0.6240131988211195,2400000000000.0
200.0,11.0,500.0,9.0e+11,5e+23,0.09927552042762518,2083333333333.3333
200.0,11.0,500.0,9.0e+11,5e+24,0.20850712519513462,2316666666666.6665
200.0,12.0,300.0,9.0e+11,1e+24,0.07696138602794696,5000000000000.0
200.0,12.0,300.0,9.0e+11,1e+25,0.7616059239769871,4716666666666.666
200.0,12.0,300.0,9.0e+11,5e+23,0.021887141850200673,5000000000000.0
200.0,12.0,300.0,9.0e+11,5e+24,0.546771694091749,2300000000000.0
200.0,12.0,400.0,9.0e+11,1e+24,0.03369599536805517,2116666666666.6665
200.0,12.0,400.0,9.0e+11,1e+25,0.7271991502833668,6166666666666.666
200.0,12.0,400.0,9.0e+11,5e+23,0.028241770550430822,5000000000000.0
200.0,12.0,400.0,9.0e+11,5e+24,0.41962111154746,4616666666666.666
200.0,12.0,500.0,9.0e+11,1e+24,0.07170835301696116,2133333333333.3333
200.0,12.0,500.0,9.0e+11,1e+25,0.820548706729389,2416666666666.6665
200.0,12.0,500.0,9.0e+11,5e+23,0.07336090367555459,4166666666666.6665
200.0,12.0,500.0,9.0e+11,5e+24,0.28011495294942135,4616666666666.666
200.0,13.0,300.0,9.0e+11,1e+24,0.050261201799403875,5000000000000.0
200.0,13.0,300.0,9.0e+11,1e+25,1.1556563052470277,4200000000000.0
200.0,13.0,300.0,9.0e+11,5e+23,0.017349471189476964,5000000000000.0
200.0,13.0,300.0,9.0e+11,5e+24,0.6691476614097903,6933333333333.333
200.0,13.0,400.0,9.0e+11,1e+24,0.3106309786158004,2100000000000.0
200.0,13.0,400.0,9.0e+11,1e+25,0.782767947012076,5000000000000.0
200.0,13.0,400.0,9.0e+11,5e+23,0.026646524665769406,5000000000000.0
200.0,13.0,400.0,9.0e+11,5e+24,0.8139563881632882,983333333333.3333
200.0,13.0,500.0,9.0e+11,1e+24,0.05722070453683403,6383333333333.333
200.0,13.0,500.0,9.0e+11,1e+25,0.610375927057477,2433333333333.333
200.0,13.0,500.0,9.0e+11,5e+23,0.05300350540212067,2083333333333.3333
200.0,13.0,500.0,9.0e+11,5e+24,0.5070336519870778,9283333333333.332
200.0,14.0,300.0,9.0e+11,1e+24,0.03924349817377339,5000000000000.0
200.0,14.0,300.0,9.0e+11,1e+25,0.5307571773156167,2783333333333.333
200.0,14.0,300.0,9.0e+11,5e+23,0.019242342732349142,5000000000000.0
200.0,14.0,300.0,9.0e+11,5e+24,1.553546565834644,1150000000000.0
200.0,14.0,400.0,9.0e+11,1e+24,0.1271888242010369,2116666666666.6665
200.0,14.0,400.0,9.0e+11,1e+25,0.5046335737111315,2333333333333.333
200.0,14.0,400.0,9.0e+11,5e+23,0.019363490363619947,2066666666666.6665
200.0,14.0,400.0,9.0e+11,5e+24,1.0596188156195847,1150000000000.0
200.0,14.0,500.0,9.0e+11,1e+24,0.0401153647911178,2133333333333.3333
200.0,14.0,500.0,9.0e+11,1e+25,0.7471415856255571,4833333333333.333
200.0,14.0,500.0,9.0e+11,5e+23,0.041453452631568306,1800000000000.0
200.0,14.0,500.0,9.0e+11,5e+24,1.6636149857498812,4650000000000.0
200.0,15.0,300.0,9.0e+11,1e+24,0.03623593666575428,2116666666666.6665
200.0,15.0,300.0,9.0e+11,1e+25,0.585603988427522,5100000000000.0
200.0,15.0,300.0,9.0e+11,5e+23,3.9272620151897386,366666666666.6666
200.0,15.0,300.0,9.0e+11,5e+24,0.3042427216791676,4883333333333.333
200.0,15.0,400.0,9.0e+11,1e+24,0.08076436345322681,2133333333333.3333
200.0,15.0,400.0,9.0e+11,1e+25,1.0705910105075735,3683333333333.333
200.0,15.0,400.0,9.0e+11,5e+23,0.022058132503761912,5000000000000.0
200.0,15.0,400.0,9.0e+11,5e+24,0.26930308003234354,1166666666666.6665
200.0,15.0,500.0,9.0e+11,1e+24,0.03390895652807388,2133333333333.3333
200.0,15.0,500.0,9.0e+11,1e+25,0.7305609815823894,2416666666666.6665
200.0,15.0,500.0,9.0e+11,5e+23,0.0389533709328205,2100000000000.0
200.0,15.0,500.0,9.0e+11,5e+24,0.19307064083685005,2333333333333.333
200.0,16.0,300.0,9.0e+11,1e+24,3.1604611574529917,4500000000000.0
200.0,16.0,300.0,9.0e+11,1e+25,0.9695936588140384,3516666666666.6665
200.0,16.0,300.0,9.0e+11,5e+23,0.23352229332961263,5000000000000.0
200.0,16.0,300.0,9.0e+11,5e+24,0.24073231622464808,4566666666666.666
200.0,16.0,400.0,9.0e+11,1e+24,0.05816895346794551,6333333333333.333
200.0,16.0,400.0,9.0e+11,1e+25,0.3590540620542613,1200000000000.0
200.0,16.0,400.0,9.0e+11,5e+23,0.017986553470582405,2066666666666.6665
200.0,16.0,400.0,9.0e+11,5e+24,0.2700938137329335,8083333333333.333
200.0,16.0,500.0,9.0e+11,1e+24,2.7724524250019185,2566666666666.6665
200.0,16.0,500.0,9.0e+11,1e+25,0.6473500587807484,3300000000000.0
200.0,16.0,500.0,9.0e+11,5e+23,0.03357754465630076,5000000000000.0
200.0,16.0,500.0,9.0e+11,5e+24,0.3607902185048389,4666666666666.666
200.0,17.0,300.0,9.0e+11,1e+24,0.17037272020225744,5000000000000.0
200.0,17.0,300.0,9.0e+11,1e+25,0.5665134277119659,4716666666666.666
200.0,17.0,300.0,9.0e+11,5e+23,0.1149548899888147,5000000000000.0
